os,ip,nic,target,suite name,case name,2019-10-18_result,ower
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,ddp_mpls,test_load_ddp,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,ddp_mpls,test_mpls_gre_pf,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,ddp_mpls,test_mpls_gre_vf,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,ddp_mpls,test_mpls_udp_pf,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,ddp_mpls,test_mpls_udp_vf,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_reserve_invalid_vf_qn,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_reserve_valid_vf_qn,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_reserve_vf_qn,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_set_invalid_vf_qn_in_testpmd,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_set_invalid_vf_qn_with_testpmd_func_cmd,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_set_valid_vf_qn_in_testpmd,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number,test_set_valid_vf_qn_with_testpmd_func_cmd,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number_kernel,test_set_invalid_vf_queue_num_command_line,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number_kernel,test_set_invalid_vf_queue_num_with_testpmd_command,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number_kernel,test_set_valid_vf_queue_num,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,runtime_vf_queue_number_kernel,test_set_valid_vf_queue_num_with_function,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_all_queues_drop, N/A,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_broadcast_mode,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_mac_antispoof,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_multicast_mode,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_promisc_mode,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_daemon,test_stats_show_clear,passed,
