suite name,2019-11-25_result,2019-11-24_result,2019-11-23_result,2019-11-22_result,2019-11-21_result,2019-11-19_result,2019-11-18_result
Grand Total,271,152,173,151,292,607,465
blacklist,0,0,0,0,0,6,6
checksum_offload,10,0,0,4,4,10,12
cmdline,0,0,0,0,0,0,0
coremask,0,0,0,0,0,0,0
crypto-perf_cryptodev_perf,0,0,0,0,0,0,0
crypto_perf_cryptodev_perf,0,0,0,0,0,0,0
ddp_gtp,0,0,0,0,0,0,0
ddp_gtp_qregion,0,0,0,0,0,0,0
ddp_mpls,1,0,0,1,0,1,1
ddp_ppp_l2tp,0,0,0,0,0,0,0
distributor,0,2,2,2,9,9,10
dpdk_gro_lib,0,0,0,0,0,0,0
dpdk_gso_lib,0,0,0,0,0,0,0
dual_vlan,9,6,5,5,97,95,103
dynamic_config,10,2,2,2,2,13,12
dynamic_flowtype,0,0,0,0,0,0,0
dynamic_queue,0,0,1,0,0,0,1
efd,0,0,0,0,0,0,0
enable_package_download_in_ice_driver,0,0,0,0,0,2,2
etag,0,0,0,0,0,0,0
eventdev_pipeline,15,15,15,15,0,0,0
example_build,0,0,0,0,0,0,0
external_memory,4,1,2,3,4,2,4
external_mempool_handler,0,5,5,5,0,0,0
fdir,2,1,2,0,0,0,0
fips_cryptodev,0,2,2,3,2,4,4
floating_veb,0,0,2,0,0,0,0
flow_classify,1,0,3,1,1,1,1
flow_classify_softnic,0,0,1,0,1,0,0
fortville_rss_granularity_config,0,0,0,0,6,5,6
generic_filter,14,0,0,0,0,14,14
generic_flow_api,1,0,0,0,0,0,0
hello_world,0,0,0,0,0,0,0
hotplug,0,1,0,0,0,0,0
hotplug_mp,0,0,1,0,16,0,0
iavf,1,0,1,1,2,68,8
ieee1588,0,0,0,0,0,0,0
inline_ipsec,1,0,1,1,1,1,0
interrupt_pmd,0,0,0,0,0,0,0
ip_pipeline,0,0,0,0,0,0,0
ipfrag,1,0,1,0,0,7,6
ipgre,2,1,1,1,4,4,4
ipsec_gw_cryptodev_func,0,0,0,0,0,0,0
ipv4_reassembly,19,1,3,0,2,18,19
ixgbe_vf_get_extra_queue_information,0,0,1,0,1,0,0
jumboframes,10,0,0,0,0,10,10
keep_alive,1,0,1,1,1,0,0
kernelpf_iavf,21,7,7,6,10,11,8
